"notedarray","id","name","url","price","image_link","category"
NULL,57,"xihuanjinxia Womens Casual Blazers Open Front Long Sleeve Work Office Jackets Blazer","http://amazon.com/Andongnywell-Jackets-Pockets-Outwear-X-Large/dp/B08X6S6QG1/ref=sr_1_57?keywords=long+sleeve+outwear&qid=1660075016&sr=8-57","$10.99","https://m.media-amazon.com/images/I/713OqHaJSzL._AC_UL320_.jpg","long sleeve outwear"
NULL,58,"Andongnywell Womens Casual Open Front Long Sleeve Work Office Jackets Blazer Suit with Pockets Outwear","http://amazon.com/Andongnywell-Womens-Jackets-Pockets-Outwear/dp/B08X6C92PX/ref=sr_1_58?keywords=long+sleeve+outwear&qid=1660075016&sr=8-58","$10.99","https://m.media-amazon.com/images/I/71gwv9gOr0L._AC_UL320_.jpg","long sleeve outwear"
NULL,59,"Carter's Baby Girls' 7-Pack Long-Sleeve Bodysuits","http://amazon.com/Carters-Baby-Girls-Shirt-Assorted/dp/B07WXZQGM8/ref=sr_1_59?keywords=long+sleeve+outwear&qid=1660075016&sr=8-59","None","https://m.media-amazon.com/images/I/810kluO27qL._AC_UL320_.jpg","long sleeve outwear"
NULL,60,"Andongnywell Women's Long Sleeve Solid Color Turn-Down Collar Coat Business Cardigan Jacket Suit Blazer Tops Outwear (Yellow 1,Small)","http://amazon.com/Andongnywell-Turn-Down-Business-Cardigan-Outwear/dp/B08X6756FF/ref=sr_1_60?keywords=long+sleeve+outwear&qid=1660075016&sr=8-60","$10.99","https://m.media-amazon.com/images/I/71vNK-fItIL._AC_UL320_.jpg","long sleeve outwear"
NULL,61,"Andongnywell Women's Solid Color Casual Long Sleeve Blazer Jacket Cardigan Work Blazer with Pockets Outwear","http://amazon.com/Andongnywell-Cardigan-Pockets-Outwear-4X-Large/dp/B08X6T3BWC/ref=sr_1_61?keywords=long+sleeve+outwear&qid=1660075016&sr=8-61","$10.99","https://m.media-amazon.com/images/I/4114k1HmqfL._AC_UL320_.jpg","long sleeve outwear"
NULL,62,"Andongnywell Womens Casual Open Front Long Sleeve Work Office Jackets Blazer Suit with Pockets Outwear","http://amazon.com/Andongnywell-Jackets-Pockets-Outwear-3X-Large/dp/B08X6W369F/ref=sr_1_62?keywords=long+sleeve+outwear&qid=1660075016&sr=8-62","$10.99","https://m.media-amazon.com/images/I/61m4kz-WWpL._AC_UL320_.jpg","long sleeve outwear"
NULL,63,"Generic Andongnywell Womens Casual Button Blazer Office Work Long Sleeve Blazer Solid Color with Pockets Outwear (Khaki 1,X-Large)","http://amazon.com/Andongnywell-Womens-Pockets-Outwear-X-Large/dp/B08X6THX7H/ref=sr_1_63?keywords=long+sleeve+outwear&qid=1660075016&sr=8-63","$10.99","https://m.media-amazon.com/images/I/4114k1HmqfL._AC_UL320_.jpg","long sleeve outwear"
NULL,64,"Andongnywell Women's Long Sleeve Solid Color Turn-Down Collar Coat Business Cardigan Jacket Suit Blazer Tops Outwear (Navy 1,Small)","http://amazon.com/Andongnywell-Turn-Down-Business-Cardigan-Outwear/dp/B08X7FDXDZ/ref=sr_1_64?keywords=long+sleeve+outwear&qid=1660075016&sr=8-64","$10.99","https://m.media-amazon.com/images/I/61guvsjz7OL._AC_UL320_.jpg","long sleeve outwear"
NULL,65,"ellazhu Women Long Sleeve V-Neck Button Down Plus Size Plaid Jacket Shirt Outwear House Coat Duster GA1505","http://amazon.com/ellazhu-Sleeve-V-Neck-Button-Outwear/dp/B09HKHTMVH/ref=sr_1_65?keywords=long+sleeve+outwear&qid=1660075016&sr=8-65","$36.95","https://m.media-amazon.com/images/I/91GlZbqPdFL._AC_UL320_.jpg","long sleeve outwear"
NULL,66,"Dokotoo Womens 2022 Winter Open Front Long Sleeve Chunky Cable Knit Cardigan Sweater Coats S-XXL","http://amazon.com/Dokotoo-Fashion-Elegant-Cardigans-Sweaters/dp/B07TC42X4N/ref=sr_1_66?keywords=long+sleeve+outwear&qid=1660075016&sr=8-66","$36.98","https://m.media-amazon.com/images/I/71inaS0ickL._AC_UL320_.jpg","long sleeve outwear"
